INFO  - 2014-02-14 10:35:23.859; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^500+для^400+стрижки^300+ZELMER^200+39Z012^100+model:123162.0^1000&wt=ruby&rows=5} hits=4670 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.874; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^500+для^400+стрижки^300+ZELMER^200+39Z013^100+model:102126.0^1000&wt=ruby&rows=5} hits=4670 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.885; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+ZELMER^300+39Z014^200+INOX^100+model:102127.0^1000&wt=ruby&rows=5} hits=4825 status=0 QTime=4 
INFO  - 2014-02-14 10:35:23.962; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ZELMER^400+39Z015^300+Oran^200+д\/носа,вух^100+model:114410.0^1000&wt=ruby&rows=5} hits=4671 status=0 QTime=7 
INFO  - 2014-02-14 10:35:24.006; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ZELMER^400+39Z015^300+Viol^200+д\/носа,вух^100+model:114442.0^1000&wt=ruby&rows=5} hits=4670 status=0 QTime=7 
INFO  - 2014-02-14 10:35:24.021; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+ZELMER^400+39Z016^300+SL^200+д\/носа,вух^100+model:107818.0^1000&wt=ruby&rows=5} hits=4892 status=0 QTime=7 
INFO  - 2014-02-14 10:35:24.042; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+ZELMER^300+39Z017^200+Black^100+model:125824.0^1000&wt=ruby&rows=5} hits=8378 status=0 QTime=11 
INFO  - 2014-02-14 10:35:24.050; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+BOSCH^300+PHS^200+2000^100+model:132628.0^1000&wt=ruby&rows=5} hits=1127 status=0 QTime=2 
INFO  - 2014-02-14 10:35:24.090; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+BOSCH^300+PHS^200+2112^100+model:133929.0^1000&wt=ruby&rows=5} hits=806 status=0 QTime=2 
INFO  - 2014-02-14 10:35:24.100; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Вирівнювач^500+волосся^400+BOSCH^300+PHS^200+3651^100+model:133930.0^1000&wt=ruby&rows=5} hits=804 status=0 QTime=2 
